"","network_name","network","seeding_strategy","seed_selection_strategy","pp","network_id","seed_count","no_of_seeds","no_of_activated","no_of_iterations","saved_seeds"
"35","ml_arxiv_pp_0.05_009_.mpx","arxiv","sq","degree",0.05,9,0.1,1406,5015,1408,0
"36","ml_arxiv_pp_0.05_009_.mpx","arxiv","sq","degree",0.05,9,0.2,2813,6796,2814,0
"37","ml_arxiv_pp_0.05_010_.mpx","arxiv","sq","degree",0.05,10,0.02,281,3229,281,0
"38","ml_arxiv_pp_0.05_010_.mpx","arxiv","sq","degree",0.05,10,0.05,703,4009,703,0
"39","ml_arxiv_pp_0.05_010_.mpx","arxiv","sq","degree",0.05,10,0.1,1406,5070,1406,0
"40","ml_arxiv_pp_0.05_010_.mpx","arxiv","sq","degree",0.05,10,0.2,2813,6863,2813,0
"41","ml_arxiv_pp_0.05_011_.mpx","arxiv","sq","degree",0.05,11,0.02,281,3109,281,0
"42","ml_arxiv_pp_0.05_011_.mpx","arxiv","sq","degree",0.05,11,0.05,703,3950,704,0
"43","ml_arxiv_pp_0.05_011_.mpx","arxiv","sq","degree",0.05,11,0.1,1406,4962,1407,0
"44","ml_arxiv_pp_0.05_011_.mpx","arxiv","sq","degree",0.05,11,0.2,2813,6756,2813,0
"45","ml_arxiv_pp_0.05_012_.mpx","arxiv","sq","degree",0.05,12,0.02,281,3223,281,0
"46","ml_arxiv_pp_0.05_012_.mpx","arxiv","sq","degree",0.05,12,0.05,703,3998,703,0
"47","ml_arxiv_pp_0.05_012_.mpx","arxiv","sq","degree",0.05,12,0.1,1406,4990,1406,0
"48","ml_arxiv_pp_0.05_012_.mpx","arxiv","sq","degree",0.05,12,0.2,2813,6755,2814,0
"49","ml_arxiv_pp_0.05_013_.mpx","arxiv","sq","degree",0.05,13,0.02,281,3332,283,0
"50","ml_arxiv_pp_0.05_013_.mpx","arxiv","sq","degree",0.05,13,0.05,703,4090,703,0
"51","ml_arxiv_pp_0.05_013_.mpx","arxiv","sq","degree",0.05,13,0.1,1406,5099,1406,0
"52","ml_arxiv_pp_0.05_013_.mpx","arxiv","sq","degree",0.05,13,0.2,2813,6859,2813,0
"53","ml_arxiv_pp_0.05_014_.mpx","arxiv","sq","degree",0.05,14,0.02,281,3223,282,0
"54","ml_arxiv_pp_0.05_014_.mpx","arxiv","sq","degree",0.05,14,0.05,703,4050,703,0
"55","ml_arxiv_pp_0.05_014_.mpx","arxiv","sq","degree",0.05,14,0.1,1406,5097,1406,0
"56","ml_arxiv_pp_0.05_014_.mpx","arxiv","sq","degree",0.05,14,0.2,2813,6871,2813,0
"57","ml_arxiv_pp_0.05_015_.mpx","arxiv","sq","degree",0.05,15,0.02,281,3236,281,0
"58","ml_arxiv_pp_0.05_015_.mpx","arxiv","sq","degree",0.05,15,0.05,703,4013,704,0
"59","ml_arxiv_pp_0.05_015_.mpx","arxiv","sq","degree",0.05,15,0.1,1406,5055,1408,0
"60","ml_arxiv_pp_0.05_015_.mpx","arxiv","sq","degree",0.05,15,0.2,2813,6800,2813,0
"61","ml_arxiv_pp_0.05_016_.mpx","arxiv","sq","degree",0.05,16,0.02,281,3149,282,0
"62","ml_arxiv_pp_0.05_016_.mpx","arxiv","sq","degree",0.05,16,0.05,703,3978,703,0
"63","ml_arxiv_pp_0.05_016_.mpx","arxiv","sq","degree",0.05,16,0.1,1406,5007,1406,0
"64","ml_arxiv_pp_0.05_016_.mpx","arxiv","sq","degree",0.05,16,0.2,2813,6767,2814,0
"65","ml_arxiv_pp_0.05_017_.mpx","arxiv","sq","degree",0.05,17,0.02,281,3128,281,0
"66","ml_arxiv_pp_0.05_017_.mpx","arxiv","sq","degree",0.05,17,0.05,703,3959,703,0
"67","ml_arxiv_pp_0.05_017_.mpx","arxiv","sq","degree",0.05,17,0.1,1406,4978,1407,0
"68","ml_arxiv_pp_0.05_017_.mpx","arxiv","sq","degree",0.05,17,0.2,2813,6772,2813,0
"69","ml_arxiv_pp_0.05_018_.mpx","arxiv","sq","degree",0.05,18,0.02,281,3203,283,0
"70","ml_arxiv_pp_0.05_018_.mpx","arxiv","sq","degree",0.05,18,0.05,703,4003,703,0
"71","ml_arxiv_pp_0.05_018_.mpx","arxiv","sq","degree",0.05,18,0.1,1406,5033,1409,0
"72","ml_arxiv_pp_0.05_018_.mpx","arxiv","sq","degree",0.05,18,0.2,2813,6800,2813,0
"73","ml_arxiv_pp_0.05_019_.mpx","arxiv","sq","degree",0.05,19,0.02,281,3244,281,0
"74","ml_arxiv_pp_0.05_019_.mpx","arxiv","sq","degree",0.05,19,0.05,703,4062,703,0
"75","ml_arxiv_pp_0.05_019_.mpx","arxiv","sq","degree",0.05,19,0.1,1406,5088,1406,0
"76","ml_arxiv_pp_0.05_019_.mpx","arxiv","sq","degree",0.05,19,0.2,2813,6873,2813,0
"77","ml_arxiv_pp_0.05_020_.mpx","arxiv","sq","degree",0.05,20,0.02,281,3185,282,0
"78","ml_arxiv_pp_0.05_020_.mpx","arxiv","sq","degree",0.05,20,0.05,703,3941,706,0
"79","ml_arxiv_pp_0.05_020_.mpx","arxiv","sq","degree",0.05,20,0.1,1406,4942,1406,0
"80","ml_arxiv_pp_0.05_020_.mpx","arxiv","sq","degree",0.05,20,0.2,2813,6745,2813,0
"81","ml_arxiv_pp_0.05_021_.mpx","arxiv","sq","degree",0.05,21,0.02,281,3184,284,0
"82","ml_arxiv_pp_0.05_021_.mpx","arxiv","sq","degree",0.05,21,0.05,703,4002,704,0
"83","ml_arxiv_pp_0.05_021_.mpx","arxiv","sq","degree",0.05,21,0.1,1406,5014,1407,0
"84","ml_arxiv_pp_0.05_021_.mpx","arxiv","sq","degree",0.05,21,0.2,2813,6779,2813,0
"85","ml_arxiv_pp_0.05_022_.mpx","arxiv","sq","degree",0.05,22,0.02,281,3253,281,0
"86","ml_arxiv_pp_0.05_022_.mpx","arxiv","sq","degree",0.05,22,0.05,703,4071,703,0
"87","ml_arxiv_pp_0.05_022_.mpx","arxiv","sq","degree",0.05,22,0.1,1406,5095,1407,0
"88","ml_arxiv_pp_0.05_022_.mpx","arxiv","sq","degree",0.05,22,0.2,2813,6873,2813,0
"89","ml_arxiv_pp_0.05_023_.mpx","arxiv","sq","degree",0.05,23,0.02,281,3104,281,0
"90","ml_arxiv_pp_0.05_023_.mpx","arxiv","sq","degree",0.05,23,0.05,703,3934,704,0
"91","ml_arxiv_pp_0.05_023_.mpx","arxiv","sq","degree",0.05,23,0.1,1406,4956,1407,0
"92","ml_arxiv_pp_0.05_023_.mpx","arxiv","sq","degree",0.05,23,0.2,2813,6712,2813,0
"93","ml_arxiv_pp_0.05_024_.mpx","arxiv","sq","degree",0.05,24,0.02,281,3309,281,0
"94","ml_arxiv_pp_0.05_024_.mpx","arxiv","sq","degree",0.05,24,0.05,703,4091,704,0
"95","ml_arxiv_pp_0.05_024_.mpx","arxiv","sq","degree",0.05,24,0.1,1406,5100,1406,0
"96","ml_arxiv_pp_0.05_024_.mpx","arxiv","sq","degree",0.05,24,0.2,2813,6863,2813,0
"97","ml_arxiv_pp_0.05_025_.mpx","arxiv","sq","degree",0.05,25,0.02,281,3104,283,0
"98","ml_arxiv_pp_0.05_025_.mpx","arxiv","sq","degree",0.05,25,0.05,703,3939,704,0
"99","ml_arxiv_pp_0.05_025_.mpx","arxiv","sq","degree",0.05,25,0.1,1406,4966,1406,0
"100","ml_arxiv_pp_0.05_025_.mpx","arxiv","sq","degree",0.05,25,0.2,2813,6767,2813,0
"101","ml_arxiv_pp_0.05_026_.mpx","arxiv","sq","degree",0.05,26,0.02,281,3138,282,0
"102","ml_arxiv_pp_0.05_026_.mpx","arxiv","sq","degree",0.05,26,0.05,703,3962,703,0
"103","ml_arxiv_pp_0.05_026_.mpx","arxiv","sq","degree",0.05,26,0.1,1406,4993,1407,0
"104","ml_arxiv_pp_0.05_026_.mpx","arxiv","sq","degree",0.05,26,0.2,2813,6760,2813,0
"105","ml_arxiv_pp_0.05_027_.mpx","arxiv","sq","degree",0.05,27,0.02,281,3250,282,0
"106","ml_arxiv_pp_0.05_027_.mpx","arxiv","sq","degree",0.05,27,0.05,703,4079,703,0
"107","ml_arxiv_pp_0.05_027_.mpx","arxiv","sq","degree",0.05,27,0.1,1406,5128,1406,0
"108","ml_arxiv_pp_0.05_027_.mpx","arxiv","sq","degree",0.05,27,0.2,2813,6905,2813,0
"109","ml_arxiv_pp_0.05_028_.mpx","arxiv","sq","degree",0.05,28,0.02,281,3212,282,0
"110","ml_arxiv_pp_0.05_028_.mpx","arxiv","sq","degree",0.05,28,0.05,703,3982,703,0
"111","ml_arxiv_pp_0.05_028_.mpx","arxiv","sq","degree",0.05,28,0.1,1406,5004,1407,0
"112","ml_arxiv_pp_0.05_028_.mpx","arxiv","sq","degree",0.05,28,0.2,2813,6822,2813,0
"113","ml_arxiv_pp_0.05_029_.mpx","arxiv","sq","degree",0.05,29,0.02,281,3103,282,0
"114","ml_arxiv_pp_0.05_029_.mpx","arxiv","sq","degree",0.05,29,0.05,703,3949,703,0
"115","ml_arxiv_pp_0.05_029_.mpx","arxiv","sq","degree",0.05,29,0.1,1406,4987,1406,0
"116","ml_arxiv_pp_0.05_029_.mpx","arxiv","sq","degree",0.05,29,0.2,2813,6729,2813,0
"117","ml_arxiv_pp_0.05_030_.mpx","arxiv","sq","degree",0.05,30,0.02,281,3223,281,0
"118","ml_arxiv_pp_0.05_030_.mpx","arxiv","sq","degree",0.05,30,0.05,703,4049,705,0
"119","ml_arxiv_pp_0.05_030_.mpx","arxiv","sq","degree",0.05,30,0.1,1406,5066,1406,0
"120","ml_arxiv_pp_0.05_030_.mpx","arxiv","sq","degree",0.05,30,0.2,2813,6838,2813,0
"121","ml_arxiv_pp_0.05_031_.mpx","arxiv","sq","degree",0.05,31,0.02,281,3216,282,0
"122","ml_arxiv_pp_0.05_031_.mpx","arxiv","sq","degree",0.05,31,0.05,703,4025,704,0
"123","ml_arxiv_pp_0.05_031_.mpx","arxiv","sq","degree",0.05,31,0.1,1406,5070,1406,0
"124","ml_arxiv_pp_0.05_031_.mpx","arxiv","sq","degree",0.05,31,0.2,2813,6827,2813,0
"125","ml_arxiv_pp_0.05_032_.mpx","arxiv","sq","degree",0.05,32,0.02,281,3291,282,0
"126","ml_arxiv_pp_0.05_032_.mpx","arxiv","sq","degree",0.05,32,0.05,703,4032,703,0
"127","ml_arxiv_pp_0.05_032_.mpx","arxiv","sq","degree",0.05,32,0.1,1406,5047,1406,0
"128","ml_arxiv_pp_0.05_032_.mpx","arxiv","sq","degree",0.05,32,0.2,2813,6798,2814,0
"129","ml_arxiv_pp_0.05_033_.mpx","arxiv","sq","degree",0.05,33,0.02,281,3293,286,0
"130","ml_arxiv_pp_0.05_033_.mpx","arxiv","sq","degree",0.05,33,0.05,703,4088,705,0
"131","ml_arxiv_pp_0.05_033_.mpx","arxiv","sq","degree",0.05,33,0.1,1406,5121,1406,0
"132","ml_arxiv_pp_0.05_033_.mpx","arxiv","sq","degree",0.05,33,0.2,2813,6902,2813,0
"133","ml_arxiv_pp_0.05_034_.mpx","arxiv","sq","degree",0.05,34,0.02,281,3133,283,0
"134","ml_arxiv_pp_0.05_034_.mpx","arxiv","sq","degree",0.05,34,0.05,703,3952,703,0
"135","ml_arxiv_pp_0.05_034_.mpx","arxiv","sq","degree",0.05,34,0.1,1406,4991,1406,0
"136","ml_arxiv_pp_0.05_034_.mpx","arxiv","sq","degree",0.05,34,0.2,2813,6786,2813,0
"137","ml_arxiv_pp_0.05_035_.mpx","arxiv","sq","degree",0.05,35,0.02,281,3232,282,0
"138","ml_arxiv_pp_0.05_035_.mpx","arxiv","sq","degree",0.05,35,0.05,703,4030,704,0
"139","ml_arxiv_pp_0.05_035_.mpx","arxiv","sq","degree",0.05,35,0.1,1406,5061,1406,0
"140","ml_arxiv_pp_0.05_035_.mpx","arxiv","sq","degree",0.05,35,0.2,2813,6823,2813,0
"141","ml_arxiv_pp_0.05_036_.mpx","arxiv","sq","degree",0.05,36,0.02,281,3145,283,0
"142","ml_arxiv_pp_0.05_036_.mpx","arxiv","sq","degree",0.05,36,0.05,703,3926,703,0
"143","ml_arxiv_pp_0.05_036_.mpx","arxiv","sq","degree",0.05,36,0.1,1406,4976,1406,0
"144","ml_arxiv_pp_0.05_036_.mpx","arxiv","sq","degree",0.05,36,0.2,2813,6749,2813,0
"145","ml_arxiv_pp_0.05_037_.mpx","arxiv","sq","degree",0.05,37,0.02,281,3290,283,0
"146","ml_arxiv_pp_0.05_037_.mpx","arxiv","sq","degree",0.05,37,0.05,703,4079,703,0
"147","ml_arxiv_pp_0.05_037_.mpx","arxiv","sq","degree",0.05,37,0.1,1406,5108,1407,0
"148","ml_arxiv_pp_0.05_037_.mpx","arxiv","sq","degree",0.05,37,0.2,2813,6910,2813,0
"149","ml_arxiv_pp_0.05_038_.mpx","arxiv","sq","degree",0.05,38,0.02,281,3303,282,0
"150","ml_arxiv_pp_0.05_038_.mpx","arxiv","sq","degree",0.05,38,0.05,703,4087,703,0
"151","ml_arxiv_pp_0.05_038_.mpx","arxiv","sq","degree",0.05,38,0.1,1406,5095,1406,0
"152","ml_arxiv_pp_0.05_038_.mpx","arxiv","sq","degree",0.05,38,0.2,2813,6843,2813,0
"153","ml_arxiv_pp_0.05_039_.mpx","arxiv","sq","degree",0.05,39,0.02,281,3165,284,0
"154","ml_arxiv_pp_0.05_039_.mpx","arxiv","sq","degree",0.05,39,0.05,703,3975,705,0
"155","ml_arxiv_pp_0.05_039_.mpx","arxiv","sq","degree",0.05,39,0.1,1406,4991,1406,0
"156","ml_arxiv_pp_0.05_039_.mpx","arxiv","sq","degree",0.05,39,0.2,2813,6761,2813,0
"157","ml_arxiv_pp_0.05_040_.mpx","arxiv","sq","degree",0.05,40,0.02,281,3224,283,0
"158","ml_arxiv_pp_0.05_040_.mpx","arxiv","sq","degree",0.05,40,0.05,703,4000,703,0
"159","ml_arxiv_pp_0.05_040_.mpx","arxiv","sq","degree",0.05,40,0.1,1406,5066,1406,0
"160","ml_arxiv_pp_0.05_040_.mpx","arxiv","sq","degree",0.05,40,0.2,2813,6830,2813,0
"161","ml_arxiv_pp_0.05_041_.mpx","arxiv","sq","degree",0.05,41,0.02,281,3217,281,0
"162","ml_arxiv_pp_0.05_041_.mpx","arxiv","sq","degree",0.05,41,0.05,703,3992,703,0
"163","ml_arxiv_pp_0.05_041_.mpx","arxiv","sq","degree",0.05,41,0.1,1406,5018,1406,0
"164","ml_arxiv_pp_0.05_041_.mpx","arxiv","sq","degree",0.05,41,0.2,2813,6812,2815,0
"165","ml_arxiv_pp_0.05_042_.mpx","arxiv","sq","degree",0.05,42,0.02,281,3197,282,0
"166","ml_arxiv_pp_0.05_042_.mpx","arxiv","sq","degree",0.05,42,0.05,703,3985,703,0
"167","ml_arxiv_pp_0.05_042_.mpx","arxiv","sq","degree",0.05,42,0.1,1406,5044,1407,0
"168","ml_arxiv_pp_0.05_042_.mpx","arxiv","sq","degree",0.05,42,0.2,2813,6830,2813,0
"169","ml_arxiv_pp_0.05_043_.mpx","arxiv","sq","degree",0.05,43,0.02,281,3154,283,0
"170","ml_arxiv_pp_0.05_043_.mpx","arxiv","sq","degree",0.05,43,0.05,703,3964,707,0
"171","ml_arxiv_pp_0.05_043_.mpx","arxiv","sq","degree",0.05,43,0.1,1406,4960,1406,0
"172","ml_arxiv_pp_0.05_043_.mpx","arxiv","sq","degree",0.05,43,0.2,2813,6746,2814,0
"173","ml_arxiv_pp_0.05_044_.mpx","arxiv","sq","degree",0.05,44,0.02,281,3155,282,0
"174","ml_arxiv_pp_0.05_044_.mpx","arxiv","sq","degree",0.05,44,0.05,703,3946,703,0
"175","ml_arxiv_pp_0.05_044_.mpx","arxiv","sq","degree",0.05,44,0.1,1406,5001,1406,0
"176","ml_arxiv_pp_0.05_044_.mpx","arxiv","sq","degree",0.05,44,0.2,2813,6767,2813,0
"177","ml_arxiv_pp_0.05_045_.mpx","arxiv","sq","degree",0.05,45,0.02,281,3206,282,0
"178","ml_arxiv_pp_0.05_045_.mpx","arxiv","sq","degree",0.05,45,0.05,703,3993,703,0
"179","ml_arxiv_pp_0.05_045_.mpx","arxiv","sq","degree",0.05,45,0.1,1406,5002,1407,0
"180","ml_arxiv_pp_0.05_045_.mpx","arxiv","sq","degree",0.05,45,0.2,2813,6763,2813,0
"181","ml_arxiv_pp_0.05_046_.mpx","arxiv","sq","degree",0.05,46,0.02,281,3252,282,0
"182","ml_arxiv_pp_0.05_046_.mpx","arxiv","sq","degree",0.05,46,0.05,703,4059,703,0
"183","ml_arxiv_pp_0.05_046_.mpx","arxiv","sq","degree",0.05,46,0.1,1406,5067,1406,0
"184","ml_arxiv_pp_0.05_046_.mpx","arxiv","sq","degree",0.05,46,0.2,2813,6890,2813,0
"185","ml_arxiv_pp_0.05_047_.mpx","arxiv","sq","degree",0.05,47,0.02,281,3224,281,0
"186","ml_arxiv_pp_0.05_047_.mpx","arxiv","sq","degree",0.05,47,0.05,703,4013,703,0
"187","ml_arxiv_pp_0.05_047_.mpx","arxiv","sq","degree",0.05,47,0.1,1406,5006,1406,0
"188","ml_arxiv_pp_0.05_047_.mpx","arxiv","sq","degree",0.05,47,0.2,2813,6778,2813,0
"189","ml_arxiv_pp_0.05_048_.mpx","arxiv","sq","degree",0.05,48,0.02,281,3164,282,0
"190","ml_arxiv_pp_0.05_048_.mpx","arxiv","sq","degree",0.05,48,0.05,703,3971,703,0
"191","ml_arxiv_pp_0.05_048_.mpx","arxiv","sq","degree",0.05,48,0.1,1406,5022,1406,0
"192","ml_arxiv_pp_0.05_048_.mpx","arxiv","sq","degree",0.05,48,0.2,2813,6800,2813,0
"193","ml_arxiv_pp_0.05_049_.mpx","arxiv","sq","degree",0.05,49,0.02,281,3161,285,0
"194","ml_arxiv_pp_0.05_049_.mpx","arxiv","sq","degree",0.05,49,0.05,703,3934,705,0
"195","ml_arxiv_pp_0.05_049_.mpx","arxiv","sq","degree",0.05,49,0.1,1406,4969,1406,0
"196","ml_arxiv_pp_0.05_049_.mpx","arxiv","sq","degree",0.05,49,0.2,2813,6741,2814,0
"197","ml_arxiv_pp_0.05_050_.mpx","arxiv","sq","degree",0.05,50,0.02,281,3160,281,0
"198","ml_arxiv_pp_0.05_050_.mpx","arxiv","sq","degree",0.05,50,0.05,703,3984,703,0
"199","ml_arxiv_pp_0.05_050_.mpx","arxiv","sq","degree",0.05,50,0.1,1406,5023,1406,0
"200","ml_arxiv_pp_0.05_050_.mpx","arxiv","sq","degree",0.05,50,0.2,2813,6792,2813,0
"201","ml_arxiv_pp_0.05_051_.mpx","arxiv","sq","degree",0.05,51,0.02,281,3149,281,0
"202","ml_arxiv_pp_0.05_051_.mpx","arxiv","sq","degree",0.05,51,0.05,703,3926,704,0
"203","ml_arxiv_pp_0.05_051_.mpx","arxiv","sq","degree",0.05,51,0.1,1406,4978,1406,0
"204","ml_arxiv_pp_0.05_051_.mpx","arxiv","sq","degree",0.05,51,0.2,2813,6722,2813,0
"205","ml_arxiv_pp_0.05_052_.mpx","arxiv","sq","degree",0.05,52,0.02,281,3258,283,0
"206","ml_arxiv_pp_0.05_052_.mpx","arxiv","sq","degree",0.05,52,0.05,703,4060,704,0
"207","ml_arxiv_pp_0.05_052_.mpx","arxiv","sq","degree",0.05,52,0.1,1406,5106,1407,0
"208","ml_arxiv_pp_0.05_052_.mpx","arxiv","sq","degree",0.05,52,0.2,2813,6905,2813,0
"209","ml_arxiv_pp_0.05_053_.mpx","arxiv","sq","degree",0.05,53,0.02,281,3211,281,0
"210","ml_arxiv_pp_0.05_053_.mpx","arxiv","sq","degree",0.05,53,0.05,703,4037,703,0
"211","ml_arxiv_pp_0.05_053_.mpx","arxiv","sq","degree",0.05,53,0.1,1406,5083,1408,0
"212","ml_arxiv_pp_0.05_053_.mpx","arxiv","sq","degree",0.05,53,0.2,2813,6854,2813,0
"213","ml_arxiv_pp_0.05_054_.mpx","arxiv","sq","degree",0.05,54,0.02,281,3249,282,0
"214","ml_arxiv_pp_0.05_054_.mpx","arxiv","sq","degree",0.05,54,0.05,703,4017,703,0
"215","ml_arxiv_pp_0.05_054_.mpx","arxiv","sq","degree",0.05,54,0.1,1406,5046,1407,0
"216","ml_arxiv_pp_0.05_054_.mpx","arxiv","sq","degree",0.05,54,0.2,2813,6798,2814,0
"217","ml_arxiv_pp_0.05_055_.mpx","arxiv","sq","degree",0.05,55,0.02,281,3190,284,0
"218","ml_arxiv_pp_0.05_055_.mpx","arxiv","sq","degree",0.05,55,0.05,703,3976,707,0
"219","ml_arxiv_pp_0.05_055_.mpx","arxiv","sq","degree",0.05,55,0.1,1406,5000,1406,0
"220","ml_arxiv_pp_0.05_055_.mpx","arxiv","sq","degree",0.05,55,0.2,2813,6815,2814,0
"221","ml_arxiv_pp_0.05_056_.mpx","arxiv","sq","degree",0.05,56,0.02,281,3136,282,0
"222","ml_arxiv_pp_0.05_056_.mpx","arxiv","sq","degree",0.05,56,0.05,703,3940,703,0
"223","ml_arxiv_pp_0.05_056_.mpx","arxiv","sq","degree",0.05,56,0.1,1406,5005,1406,0
"224","ml_arxiv_pp_0.05_056_.mpx","arxiv","sq","degree",0.05,56,0.2,2813,6750,2813,0
"225","ml_arxiv_pp_0.05_057_.mpx","arxiv","sq","degree",0.05,57,0.02,281,3226,283,0
"226","ml_arxiv_pp_0.05_057_.mpx","arxiv","sq","degree",0.05,57,0.05,703,4010,703,0
"227","ml_arxiv_pp_0.05_057_.mpx","arxiv","sq","degree",0.05,57,0.1,1406,5000,1406,0
"228","ml_arxiv_pp_0.05_057_.mpx","arxiv","sq","degree",0.05,57,0.2,2813,6810,2813,0
"229","ml_arxiv_pp_0.05_058_.mpx","arxiv","sq","degree",0.05,58,0.02,281,3229,283,0
"230","ml_arxiv_pp_0.05_058_.mpx","arxiv","sq","degree",0.05,58,0.05,703,3979,703,0
"231","ml_arxiv_pp_0.05_058_.mpx","arxiv","sq","degree",0.05,58,0.1,1406,5008,1408,0
"232","ml_arxiv_pp_0.05_058_.mpx","arxiv","sq","degree",0.05,58,0.2,2813,6758,2813,0
"233","ml_arxiv_pp_0.05_059_.mpx","arxiv","sq","degree",0.05,59,0.02,281,3170,284,0
"234","ml_arxiv_pp_0.05_059_.mpx","arxiv","sq","degree",0.05,59,0.05,703,3988,703,0
"235","ml_arxiv_pp_0.05_059_.mpx","arxiv","sq","degree",0.05,59,0.1,1406,5015,1406,0
"236","ml_arxiv_pp_0.05_059_.mpx","arxiv","sq","degree",0.05,59,0.2,2813,6800,2813,0
"237","ml_arxiv_pp_0.05_060_.mpx","arxiv","sq","degree",0.05,60,0.02,281,3216,283,0
"238","ml_arxiv_pp_0.05_060_.mpx","arxiv","sq","degree",0.05,60,0.05,703,4039,703,0
"239","ml_arxiv_pp_0.05_060_.mpx","arxiv","sq","degree",0.05,60,0.1,1406,5054,1406,0
"240","ml_arxiv_pp_0.05_060_.mpx","arxiv","sq","degree",0.05,60,0.2,2813,6851,2813,0
"241","ml_arxiv_pp_0.05_061_.mpx","arxiv","sq","degree",0.05,61,0.02,281,3262,281,0
"242","ml_arxiv_pp_0.05_061_.mpx","arxiv","sq","degree",0.05,61,0.05,703,4046,704,0
"243","ml_arxiv_pp_0.05_061_.mpx","arxiv","sq","degree",0.05,61,0.1,1406,5105,1406,0
"244","ml_arxiv_pp_0.05_061_.mpx","arxiv","sq","degree",0.05,61,0.2,2813,6871,2813,0
"245","ml_arxiv_pp_0.05_062_.mpx","arxiv","sq","degree",0.05,62,0.02,281,3251,282,0
"246","ml_arxiv_pp_0.05_062_.mpx","arxiv","sq","degree",0.05,62,0.05,703,4027,704,0
"247","ml_arxiv_pp_0.05_062_.mpx","arxiv","sq","degree",0.05,62,0.1,1406,5049,1406,0
